start_time,guitar,classical,slow,techno,strings,drums,electronic,rock,fast,piano,ambient,beat,violin,vocal,synth,female,indian,opera,male,singing,vocals,no vocals,harpsichord,loud,quiet,flute,woman,male vocal,no vocal,pop,soft,sitar,solo,man,classic,choir,voice,new age,dance,male voice,female vocal,beats,harp,cello,no voice,weird,country,metal,female voice,choral
34.5,0.46828058,0.9894907,0.51859117,0.0064887423,0.764383,0.30866787,0.010324083,0.00423461,0.028726302,0.88880444,0.036978282,0.052744098,0.38054568,0.074910976,0.009096192,0.02311402,0.6074937,0.6922109,0.13167524,0.05552864,0.05230713,0.060353365,0.804151,0.0053310595,0.5990221,0.38458502,0.0172626,0.13318273,0.06679623,0.01184205,0.31546736,0.81372446,0.19394556,0.15954752,0.8592485,0.5605804,0.035760406,0.016161596,0.004350587,0.105179474,0.0120114125,0.027151112,0.7046052,0.5336279,0.048231814,0.017918032,0.04549482,0.0044597974,0.009649502,0.48681888
37.5,0.35669878,0.8740819,0.63166076,0.02388068,0.56484467,0.7623511,0.048083205,0.013876881,0.012960323,0.1527501,0.28701225,0.33299232,0.2029487,0.029250681,0.04006267,0.015162808,0.38015065,0.19447148,0.054618828,0.021110786,0.031008448,0.07495138,0.14886548,0.0056723733,0.7946855,0.46220058,0.012794469,0.063868135,0.096143514,0.008083916,0.39289963,0.32747427,0.035285972,0.06445367,0.32693237,0.2392852,0.030945186,0.046114985,0.0027676416,0.056187533,0.009631477,0.11598563,0.22877589,0.3136477,0.07951482,0.0667543,0.012165311,0.008784845,0.007916835,0.19320193
40.5,0.09469332,0.7919437,0.6189409,0.15543447,0.2329551,0.8166552,0.24452962,0.017485145,0.026541682,0.35674372,0.59670264,0.5438541,0.13228825,0.038970016,0.19711573,0.04533194,0.19096707,0.32942438,0.033156805,0.029948818,0.036415037,0.07339512,0.027264446,0.005353087,0.9002682,0.3611483,0.03999423,0.036410708,0.09055506,0.01722204,0.5603956,0.07630299,0.01882577,0.040666554,0.23409764,0.35738128,0.047873493,0.16438873,0.013824068,0.040216826,0.032851283,0.20828956,0.10191465,0.15592024,0.068790466,0.10318422,0.0034945183,0.008728304,0.02433676,0.29156244
43.5,0.2047307,0.93013185,0.5354596,0.042737156,0.6489145,0.6348054,0.083369136,0.011847011,0.019397985,0.2109468,0.36848724,0.2413264,0.52749664,0.074341744,0.07684528,0.046590813,0.296579,0.47852445,0.06964038,0.055868585,0.064797066,0.067916065,0.18273874,0.0049864273,0.6778719,0.4558507,0.040679857,0.07791031,0.07658576,0.016940711,0.40721154,0.1596461,0.020261046,0.09080434,0.49666175,0.34539413,0.073754966,0.080043055,0.004239171,0.07366488,0.027560228,0.06695453,0.20037831,0.39468056,0.054549504,0.08146871,0.020849051,0.007235664,0.02401069,0.28755358
46.5,0.0469482,0.9333161,0.46068463,0.43763003,0.34239808,0.5563828,0.51897216,0.016849438,0.02294973,0.31707484,0.51639867,0.46170136,0.16011827,0.038557354,0.39473855,0.02136435,0.1120958,0.43693337,0.064722046,0.027390877,0.040408887,0.08672864,0.19128373,0.012925375,0.6388413,0.33473724,0.014891148,0.06050732,0.09265476,0.020467646,0.31096822,0.053589348,0.016929818,0.06733403,0.51792294,0.36668208,0.04688229,0.124294475,0.025479002,0.066436656,0.013833861,0.16244145,0.16423632,0.15972836,0.060908053,0.23381253,0.0043272288,0.0076641766,0.0127198575,0.30444402
49.5,0.015866568,0.93122286,0.5992268,0.46194702,0.34696668,0.75048864,0.59066254,0.0038689752,0.023897758,0.44148415,0.78955865,0.65825677,0.25063413,0.019431354,0.5155965,0.028076438,0.5242168,0.3340761,0.015452238,0.012881227,0.01934182,0.11746703,0.12630427,0.0076944823,0.83685136,0.7235238,0.022710929,0.016782522,0.12945226,0.011584895,0.45754838,0.2809691,0.018853322,0.016988846,0.5124579,0.44975948,0.026447276,0.3892778,0.045298986,0.017991802,0.0216233,0.36998954,0.18828763,0.3175436,0.09398589,0.2932632,0.0011586105,0.0018243827,0.016254272,0.37215912
52.5,0.0777081,0.9972536,0.5329153,0.1314294,0.83829397,0.17321633,0.16141142,0.0024461637,0.04165311,0.6306362,0.2891875,0.09718816,0.7052228,0.007675075,0.11778505,0.00520043,0.15478899,0.48081896,0.019012336,0.005205907,0.006309095,0.1305428,0.93919396,0.004381371,0.7674911,0.72838885,0.0036749628,0.019569898,0.14682892,0.0025473575,0.412029,0.2196265,0.10268694,0.017319545,0.958931,0.20660912,0.008321923,0.06754322,0.014537135,0.01779906,0.003577648,0.040592898,0.6926507,0.8080553,0.1010501,0.06906671,0.003998855,0.0046305005,0.0032303145,0.18182285
55.5,0.03361183,0.9997774,0.43228483,0.0005602166,0.9584169,0.042258944,0.0016035478,0.00052239484,0.03847741,0.7274139,0.032052413,0.0049634553,0.989636,0.06259464,0.0022112,0.2892121,0.025909837,0.9796086,0.015732465,0.064836286,0.038174536,0.054903597,0.973569,0.00105365,0.81743157,0.99114406,0.21908891,0.0077632824,0.06165709,0.0031707499,0.5464628,0.012409611,0.12391375,0.012385162,0.996807,0.8498146,0.026370624,0.009539149,0.00083361537,0.0069863135,0.16389027,0.0022446455,0.61086035,0.97479486,0.045331184,0.0039271726,0.011822069,0.0013478198,0.116523,0.7525288
58.5,0.14637908,0.99535155,0.48669788,0.00583047,0.802617,0.08843334,0.016969632,0.005295242,0.014880248,0.4942819,0.15597339,0.018974565,0.7827342,0.18656363,0.02041001,0.28211778,0.018912613,0.9440372,0.08664963,0.17181553,0.14580561,0.047592428,0.66287035,0.0025078845,0.7841537,0.7405735,0.20872214,0.0510003,0.054784443,0.015740449,0.52950126,0.0075990297,0.025300425,0.07829899,0.9396423,0.82755965,0.09845997,0.025132418,0.0014252199,0.0485389,0.1702209,0.0038938904,0.29893538,0.5575726,0.036840335,0.021016385,0.022724014,0.005627153,0.1327746,0.73611534
61.5,0.28758106,0.9874248,0.3411236,0.0070696636,0.82907933,0.08914995,0.021738693,0.0029881045,0.027361998,0.7221793,0.08029998,0.017081706,0.7472923,0.12766707,0.026585171,0.21036424,0.028873634,0.7926219,0.023429165,0.11790327,0.08808446,0.057331473,0.42074054,0.0018383125,0.35711244,0.38060898,0.14339285,0.01674164,0.055772666,0.021194648,0.31750396,0.015055733,0.019290492,0.030320667,0.8374675,0.43547648,0.045509793,0.027389873,0.0026483121,0.016998196,0.104307756,0.004277272,0.39580384,0.21029279,0.032118008,0.017750734,0.040749773,0.002314831,0.07376918,0.30558008
64.5,0.042736065,0.99637336,0.20282471,0.034112725,0.7703693,0.06640065,0.046227902,0.0009163914,0.060182676,0.943421,0.025190482,0.029955395,0.72150797,0.054841306,0.036288057,0.085111946,0.034283273,0.78338724,0.023972254,0.05087983,0.045565106,0.056360006,0.68734336,0.002684346,0.17665197,0.27436244,0.05452172,0.017860662,0.050799467,0.014222725,0.16878612,0.021906354,0.06492105,0.032919526,0.9484408,0.27953008,0.031717584,0.015610266,0.018629672,0.017899413,0.03637291,0.012053234,0.37193874,0.26371455,0.027006023,0.020538567,0.01634193,0.0007292472,0.024659252,0.19994149
67.5,0.0062129046,0.9963169,0.20969771,0.27671623,0.6737023,0.09008458,0.38675067,0.003283688,0.113663964,0.9903351,0.10825093,0.077362105,0.81295204,0.009371844,0.39332804,0.0143905645,0.0034975302,0.25570893,0.0060258834,0.008761235,0.009611767,0.12610886,0.22759932,0.0110786045,0.1359653,0.09460154,0.007371727,0.0046441355,0.10562437,0.0149974795,0.14759931,0.0015552294,0.04124693,0.006408085,0.9491884,0.13431051,0.0067593385,0.07035532,0.060313873,0.006444633,0.0082714455,0.025215846,0.19564869,0.40435678,0.045877967,0.06467947,0.0053416695,0.0013450031,0.0052668946,0.10262832
70.5,0.24993534,0.9995426,0.3133763,0.00047717287,0.93720394,0.25702626,0.0013023999,0.0067728325,0.07400251,0.99370474,0.005346855,0.012773418,0.99386084,0.2331898,0.0021280532,0.47101894,0.014194508,0.93289626,0.041455325,0.28089458,0.13959728,0.04638643,0.7756841,0.0031840648,0.14566489,0.7433411,0.34891185,0.02931929,0.04153466,0.047846254,0.22452159,0.00529298,0.21405512,0.045122378,0.99248016,0.731198,0.055650022,0.007358793,0.002133772,0.024081333,0.28474507,0.005597107,0.6477245,0.96586853,0.02013675,0.0024672316,0.13984188,0.0058375164,0.18017995,0.6034937
73.5,0.03061362,0.99973315,0.09474324,7.785766e-05,0.9449954,0.17778103,0.00016933483,0.00058378733,0.41582212,0.99232423,0.00094257237,0.0043587154,0.96895915,0.012447103,0.00024667647,0.041544527,0.058439292,0.5394706,0.0025354174,0.013000064,0.011863898,0.0583509,0.909712,0.0036428876,0.11423017,0.6906467,0.022743942,0.0012703513,0.053775746,0.0029120604,0.08462866,0.03352159,0.2118567,0.0018377361,0.995977,0.5552163,0.0020796943,0.0020328842,0.0014583213,0.0011322976,0.016797101,0.0037761289,0.4096132,0.83505785,0.03250446,0.0009769477,0.02414431,0.00086675864,0.0062966826,0.38222492
